Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,7,2,3,0,0,0,0,0,2,1,0,2,1,0,3,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,
4,2,0,0,5,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,
5,1,0,0,0,5,1,0,0,1,1,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
6,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
8,1,0,0,0,0,0,1,3,2,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,0,1,0,1,0,0,0,0,11,15,0,0,1,0,1,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,
11,0,0,0,0,0,0,1,0,4,3,24,2,5,0,0,0,0,0,6,2,0,0,0,0,2,1,0,0,1,0,2,
12,3,0,0,1,0,2,1,2,8,1,1,3,2,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0,1,1,0,
13,1,0,1,0,1,1,0,0,5,1,0,0,11,0,2,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,
14,2,1,2,0,0,0,1,1,3,1,4,0,2,3,0,0,0,1,7,1,0,0,1,0,0,0,0,0,0,0,0,
15,3,1,0,0,0,0,2,3,2,4,0,0,1,1,6,0,2,1,4,0,2,0,0,0,1,0,0,0,0,0,2,
16,3,2,1,0,0,1,1,0,2,3,0,3,1,0,3,10,0,1,13,0,0,0,0,0,0,0,1,0,0,2,2,
17,1,2,0,0,0,0,0,0,2,2,3,0,2,0,0,0,13,1,11,0,0,0,2,0,0,1,0,0,0,0,1,
18,2,0,0,0,0,0,0,0,1,2,3,0,3,0,0,1,0,8,17,4,0,1,0,1,0,0,1,0,0,0,0,
19,0,0,1,0,0,0,0,0,2,5,0,0,0,0,1,0,0,0,46,0,0,0,0,0,1,0,0,0,0,0,0,
20,2,1,1,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,28,7,2,0,0,1,0,0,0,0,0,0,0,
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
22,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,9,0,0,1,11,1,2,1,0,0,0,0,1,
23,6,1,1,0,0,1,1,1,2,3,2,0,2,0,3,0,0,0,28,0,2,2,18,0,6,1,2,1,0,0,0,
24,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3,0,0,0,1,2,0,0,0,0,0,0,0,
25,2,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,4,1,0,0,1,0,5,0,0,0,0,0,0,
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,5,0,0,2,0,
28,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,1,0,1,0,2,0,0,2,
29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
31,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,
