outputDesGD,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
7,0,0,0,0,1,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,0,0,0,0,1,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,0,0,0,0,1,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,0,0,0,0,1,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,0,0,0,0,1,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,0,0,0,0,1,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,0,0,0,0,1,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,1,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
9,0,0,0,0,1,2,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,
10,0,0,0,0,1,2,2,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,
10,0,0,0,0,1,2,2,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,
12,0,0,0,0,1,2,2,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,
14,0,0,0,0,1,3,2,1,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,
15,0,0,0,0,1,3,2,1,0,0,0,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,
18,0,0,0,0,1,3,3,1,0,0,0,3,0,0,2,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,
19,0,0,0,0,1,3,3,1,0,0,0,3,1,0,2,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,
25,0,0,0,0,1,3,3,1,0,0,0,4,1,1,3,2,0,0,2,0,0,0,0,0,0,0,2,1,1,0,0,
32,0,0,0,0,1,3,3,1,0,0,0,4,1,1,4,4,0,0,2,0,0,2,1,0,0,0,3,1,1,0,0,
33,0,0,0,0,1,3,3,1,0,0,1,4,1,1,4,4,0,0,2,0,0,2,1,0,0,0,3,1,1,0,0,
36,0,0,0,0,1,3,3,1,0,0,1,4,1,1,5,4,0,0,2,0,0,2,1,0,1,0,3,1,1,0,1,
39,0,0,0,0,1,3,3,1,0,1,1,5,1,1,5,4,0,0,2,0,0,2,1,0,1,0,4,1,1,0,1,
42,0,0,0,0,1,3,3,1,0,1,1,5,1,1,6,4,0,0,3,1,0,2,1,0,1,0,4,1,1,0,1,
46,0,0,0,1,1,3,3,1,0,1,1,5,1,2,6,4,0,0,4,1,0,2,1,0,1,0,5,1,1,0,1,
52,0,0,0,1,1,3,3,2,0,2,1,6,1,2,6,5,0,0,4,2,0,2,1,0,1,0,5,1,1,0,2,
55,0,0,0,1,1,3,3,2,0,2,1,7,2,2,6,5,0,0,4,2,0,2,1,1,1,0,5,1,1,0,2,
60,0,0,0,1,1,3,3,2,0,2,1,7,3,2,7,6,0,0,4,2,0,3,2,1,1,0,5,1,1,0,2,
67,0,0,0,1,1,3,3,2,0,3,1,7,4,2,7,7,0,1,5,2,0,3,4,1,1,0,5,1,1,0,2,
71,0,0,0,1,2,3,3,2,0,3,2,7,4,2,7,8,0,2,5,2,0,3,4,1,1,0,5,1,1,0,2,
77,0,0,0,1,2,3,3,2,0,3,2,7,5,2,9,8,0,3,5,3,0,3,4,1,1,0,5,1,2,0,2,
85,0,0,0,1,2,3,3,2,0,4,2,8,5,2,11,8,0,3,5,4,0,3,6,1,1,0,5,2,2,0,2,
90,0,0,0,1,2,3,3,2,0,5,2,9,6,2,11,8,0,3,5,4,0,3,6,1,2,0,6,2,2,0,2,
99,0,0,0,1,2,3,3,2,0,6,2,10,6,2,12,10,2,3,5,4,0,3,7,1,2,0,7,2,2,0,2,
111,0,0,3,1,2,3,4,2,0,6,2,12,6,2,13,11,2,3,5,4,0,4,8,1,3,0,7,3,2,0,2,
121,0,0,3,1,2,3,4,2,0,6,4,13,6,4,14,12,2,4,5,4,0,4,9,1,3,0,7,3,2,1,2,
132,0,0,5,1,2,3,4,2,0,6,4,14,7,4,14,14,2,4,5,6,0,4,9,1,4,0,8,3,2,2,2,
139,0,0,6,1,2,3,4,2,0,6,4,14,7,4,14,15,2,5,5,8,0,4,9,1,6,0,8,3,2,2,2,
149,0,0,6,1,2,3,4,3,0,8,4,15,8,4,14,16,3,7,5,8,0,4,10,1,6,0,8,3,2,2,2,
168,0,0,8,1,2,3,4,3,0,8,6,15,8,6,16,18,3,7,5,9,1,5,13,2,6,0,8,3,2,2,4,
179,0,0,9,1,2,3,4,3,0,9,6,15,9,7,17,19,3,8,5,9,1,5,13,3,7,0,8,3,2,2,6,
188,1,0,9,2,2,3,4,3,0,9,6,17,9,8,19,19,3,8,5,9,1,5,13,4,7,0,9,3,2,2,6,
203,1,0,10,2,2,3,5,3,0,9,6,18,9,8,23,21,3,8,5,10,1,5,14,4,9,0,9,3,2,4,6,
217,1,0,10,2,2,3,5,3,0,10,6,18,10,8,25,24,3,8,6,10,1,5,17,4,11,0,9,4,2,4,6,
226,1,0,10,3,2,3,5,3,0,12,6,19,12,8,26,25,3,8,6,10,1,5,17,4,12,0,9,4,2,4,6,
244,1,0,12,4,2,4,5,3,0,14,7,20,12,8,28,26,5,8,7,12,1,6,18,4,12,0,9,4,2,4,6,
253,1,0,12,4,2,4,5,3,0,14,9,20,13,9,30,26,5,8,7,12,1,6,19,5,13,0,9,4,2,4,6,
266,1,0,14,4,2,4,5,3,0,14,9,20,13,11,33,29,5,10,7,12,1,6,20,5,13,0,9,4,2,4,6,
276,1,0,14,5,2,4,5,3,0,15,9,22,13,11,33,31,5,11,7,12,1,6,20,5,13,0,11,4,2,4,7,
294,1,0,14,6,2,4,5,4,0,17,10,22,13,11,37,35,7,11,8,12,1,6,21,6,13,0,11,4,2,4,7,
317,1,0,14,6,2,4,5,4,0,18,11,23,13,13,38,42,7,12,9,14,1,6,25,6,15,0,11,4,2,4,7,
348,1,0,16,6,2,4,5,5,0,19,12,26,13,16,42,47,8,14,10,15,2,6,27,6,17,0,12,4,2,4,7,
379,1,0,17,6,2,6,5,6,0,20,12,26,14,17,47,54,9,16,10,16,2,6,32,6,20,0,12,4,2,4,7,
406,1,0,20,6,2,6,5,7,0,22,12,27,16,17,54,57,9,19,11,17,2,7,33,6,20,0,12,5,2,4,7,
437,1,0,20,6,2,6,6,8,0,23,13,31,16,18,57,64,12,22,12,18,2,7,35,6,21,0,12,6,2,4,7,
