outputOriHN,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
19,0,0,0,1,0,2,0,0,7,1,1,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
19,0,0,0,1,0,2,0,0,7,1,1,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
19,0,0,0,1,0,2,0,0,7,1,1,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
19,0,0,0,1,0,2,0,0,7,1,1,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
19,0,0,0,1,0,2,0,0,7,1,1,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
19,0,0,0,1,0,2,0,0,7,1,1,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
19,0,0,0,1,0,2,0,0,7,1,1,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
19,0,0,0,1,0,2,0,0,7,1,1,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
19,0,0,0,1,0,2,0,0,7,1,1,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
21,0,0,0,1,0,2,0,0,7,2,1,3,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,
25,1,0,0,1,0,2,0,0,7,2,1,3,2,0,1,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,
29,2,0,0,1,0,2,0,0,8,2,1,3,2,0,1,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,
37,2,0,0,1,0,3,1,0,8,3,1,3,2,0,3,1,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,
43,2,0,1,1,0,3,2,0,9,4,1,4,2,0,3,2,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,
49,2,0,1,1,0,3,2,0,10,4,1,4,3,0,4,3,0,1,8,0,1,0,0,0,0,0,1,0,0,0,0,
56,4,0,1,1,0,3,2,0,10,4,1,4,4,0,5,3,0,1,9,1,1,0,0,0,0,0,1,1,0,0,0,
63,5,0,1,1,0,4,2,0,10,5,2,4,4,0,5,3,1,1,10,1,1,0,0,0,0,0,2,1,0,0,0,
73,8,0,1,1,0,4,2,0,11,6,4,4,4,0,5,3,1,1,12,1,1,1,0,0,0,0,2,1,0,0,0,
84,9,0,1,1,0,4,3,0,15,8,4,4,4,0,6,3,1,1,12,2,1,1,1,0,0,0,2,1,0,0,0,
93,9,0,2,2,0,4,3,0,15,8,4,4,5,0,7,3,2,1,15,2,1,1,1,1,0,0,2,1,0,0,0,
105,10,0,2,2,1,5,3,0,19,9,5,4,6,0,9,3,2,1,15,2,1,1,1,1,0,0,2,1,0,0,0,
117,13,0,2,2,1,5,3,0,22,10,5,4,6,0,9,3,5,1,16,2,1,1,2,1,0,0,2,1,0,0,0,
124,14,0,2,2,1,5,3,0,23,10,5,4,7,0,9,3,5,1,18,2,1,2,2,2,0,0,2,1,0,0,0,
132,16,0,2,3,1,6,3,0,23,10,5,4,7,0,9,3,5,1,20,2,2,2,2,3,0,0,2,1,0,0,0,
144,17,0,3,3,1,7,4,0,23,12,5,4,8,0,9,3,6,2,22,2,2,2,2,3,0,0,2,1,0,1,0,
161,18,1,3,3,1,7,4,0,24,15,5,4,10,0,9,4,6,2,24,3,3,2,2,4,0,0,3,2,0,1,1,
166,19,1,4,3,1,7,4,0,24,15,5,4,10,0,9,4,6,2,27,3,3,2,2,4,0,0,3,2,0,1,1,
178,19,2,4,3,1,7,4,3,26,15,5,4,11,0,10,4,7,3,29,3,3,2,2,4,0,0,3,2,0,1,1,
194,22,2,4,3,1,7,5,3,27,17,6,4,12,1,13,5,7,3,30,4,3,2,2,4,0,0,3,2,0,1,1,
212,25,2,4,3,1,8,6,3,28,19,6,4,12,1,13,5,7,3,36,6,3,2,2,4,1,0,3,2,0,1,2,
222,26,2,4,3,1,9,6,3,31,20,6,4,13,1,13,5,7,3,38,6,3,2,2,4,1,0,3,3,0,1,2,
239,29,3,5,3,1,10,6,3,32,23,7,4,13,1,14,5,8,3,40,7,3,2,2,5,1,0,3,3,0,1,2,
256,30,3,6,3,2,12,6,3,33,27,7,4,13,1,15,5,9,4,43,8,3,2,2,5,1,0,3,3,0,1,2,
275,30,5,6,3,2,13,7,3,33,27,8,6,14,1,17,5,9,5,48,9,3,2,2,7,1,0,3,3,0,1,2,
295,32,6,6,3,3,14,7,3,36,29,9,7,14,1,20,5,11,5,49,9,3,2,3,7,1,1,3,3,0,1,2,
309,32,6,10,3,3,14,8,3,38,29,10,7,14,1,20,5,12,5,52,9,3,3,4,7,1,1,3,3,0,1,2,
328,34,8,11,3,3,15,9,3,38,30,10,7,14,1,22,5,13,5,55,9,4,3,4,7,1,1,3,4,0,1,5,
357,36,8,11,4,3,15,9,4,41,33,11,8,16,2,25,5,13,6,62,9,4,3,4,7,2,1,4,4,1,1,5,
388,38,11,11,4,4,15,9,4,51,37,11,9,16,2,27,5,13,6,66,9,5,3,5,7,4,1,4,4,1,1,5,
