outputDesJS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
15,0,0,0,0,0,0,0,0,0,0,0,1,2,0,7,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,
19,0,0,0,0,0,0,0,0,0,0,0,2,2,0,8,3,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,
23,0,0,0,0,0,0,0,0,0,0,0,3,2,0,9,4,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,
32,0,0,1,0,0,0,1,1,0,1,0,3,2,0,9,4,2,1,0,3,0,1,1,0,0,0,2,0,0,0,0,
44,0,0,2,0,0,0,1,1,0,1,1,4,3,0,10,5,4,2,0,4,0,1,2,0,0,0,3,0,0,0,0,
57,0,0,2,2,0,0,1,1,0,2,1,5,3,0,11,5,5,5,0,5,0,1,3,0,0,1,4,0,0,0,0,
65,0,0,2,2,0,0,1,1,0,2,1,5,4,2,13,5,5,5,1,6,0,1,4,0,0,1,4,0,0,0,0,
78,0,0,2,2,0,0,1,1,0,4,1,5,4,3,16,8,5,6,2,6,0,1,5,0,0,1,4,0,0,1,0,
84,0,0,3,2,0,0,1,1,0,4,2,5,6,3,16,9,5,6,2,6,0,1,6,0,0,1,4,0,0,1,0,
99,0,0,4,3,0,0,1,1,0,5,2,6,6,3,18,11,6,7,2,8,0,1,6,0,1,1,4,0,1,1,1,
113,0,0,4,4,0,0,1,1,0,6,3,6,6,5,19,11,7,7,2,9,0,2,6,0,2,1,6,2,1,1,1,
128,0,1,5,4,0,0,1,1,0,6,4,7,6,5,21,12,7,10,3,9,0,2,8,0,3,1,6,3,1,1,1,
144,0,1,7,5,0,0,1,1,0,6,6,7,6,6,23,13,7,11,4,9,0,3,10,0,3,1,7,4,1,1,1,
158,0,1,7,5,1,3,2,1,0,6,7,7,7,6,26,13,7,11,5,9,0,3,12,0,4,1,7,4,1,1,1,
172,0,1,7,5,2,4,2,1,0,8,9,8,8,6,26,13,7,12,6,11,0,3,13,0,4,1,7,4,1,2,1,
193,0,1,8,5,3,6,2,2,0,8,11,11,10,6,26,14,7,13,7,13,0,3,14,0,5,1,7,4,1,2,3,
215,1,1,10,5,4,7,2,2,0,8,11,12,10,6,28,17,9,15,8,14,0,3,17,2,5,1,7,4,1,2,3,
226,1,1,10,5,4,9,2,3,0,8,12,12,11,7,29,17,9,16,8,14,0,3,19,3,5,1,7,4,1,2,3,
248,1,1,10,5,4,9,2,4,0,10,12,12,11,7,30,20,11,16,11,14,0,3,21,5,7,1,9,4,1,3,4,
263,1,2,11,5,4,9,2,4,0,11,12,13,11,8,32,21,12,17,11,15,0,3,22,5,8,1,10,4,1,3,5,
281,1,2,11,5,4,9,2,5,0,15,12,14,13,8,33,25,13,18,14,15,0,3,22,5,8,1,10,4,1,3,5,
303,1,2,14,5,4,10,2,6,0,17,12,15,14,8,36,27,13,19,16,15,0,3,24,6,8,1,10,5,1,3,6,
327,1,2,15,5,4,12,3,7,0,17,13,16,14,10,38,30,13,21,18,16,0,4,25,8,8,1,10,6,1,3,6,
