outputOriSC,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,
7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,
8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,
10,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,0,
11,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5,0,1,0,0,0,0,0,0,0,0,1,0,
13,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,6,0,1,0,0,0,0,0,0,0,0,1,0,
14,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,6,0,1,0,0,0,0,0,0,0,0,1,0,
14,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,6,0,1,0,0,0,0,0,0,0,0,1,0,
15,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,7,0,1,0,0,0,0,0,0,0,0,1,0,
17,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,9,0,1,0,0,0,0,0,0,0,0,1,0,
18,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,9,0,1,0,0,0,0,0,0,0,0,1,0,
21,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,1,11,0,1,0,0,0,0,0,0,0,0,1,0,
21,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,1,11,0,1,0,0,0,0,0,0,0,0,1,0,
22,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,1,12,0,1,0,0,0,0,0,0,0,0,1,0,
22,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,1,12,0,1,0,0,0,0,0,0,0,0,1,0,
22,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,1,12,0,1,0,0,0,0,0,0,0,0,1,0,
22,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,1,12,0,1,0,0,0,0,0,0,0,0,1,0,
26,1,1,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,1,14,0,1,0,1,0,0,0,0,0,0,1,0,
27,1,1,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,1,15,0,1,0,1,0,0,0,0,0,0,1,0,
29,1,1,0,0,0,0,0,0,0,1,1,0,0,1,2,2,0,1,15,0,1,0,2,0,0,0,0,0,0,1,0,
32,2,1,0,0,0,0,0,0,0,1,1,0,0,1,2,2,0,1,17,0,1,0,2,0,0,0,0,0,0,1,0,
33,2,1,0,0,0,0,0,0,0,1,1,0,0,1,2,2,0,1,18,0,1,0,2,0,0,0,0,0,0,1,0,
33,2,1,0,0,0,0,0,0,0,1,1,0,0,1,2,2,0,1,18,0,1,0,2,0,0,0,0,0,0,1,0,
36,2,1,0,0,0,0,0,0,0,3,1,0,0,1,2,2,0,1,19,0,1,0,2,0,0,0,0,0,0,1,0,
37,2,1,0,0,0,0,0,0,0,4,1,0,0,1,2,2,0,1,19,0,1,0,2,0,0,0,0,0,0,1,0,
41,2,1,0,0,0,0,0,0,1,4,1,0,2,1,2,2,0,1,20,0,1,0,2,0,0,0,0,0,0,1,0,
43,2,1,0,0,0,0,0,0,1,4,1,0,2,1,2,2,0,1,22,0,1,0,2,0,0,0,0,0,0,1,0,
48,2,1,0,0,0,0,0,0,1,5,1,0,2,1,3,2,0,1,24,0,1,0,2,0,0,0,0,1,0,1,0,
51,2,1,0,0,0,0,0,0,1,5,1,0,3,1,3,2,0,1,25,0,1,0,2,1,0,0,0,1,0,1,0,
53,2,1,0,0,0,0,0,0,2,5,1,0,3,1,3,2,0,1,25,1,1,0,2,1,0,0,0,1,0,1,0,
55,2,1,0,0,0,0,0,0,2,6,1,0,3,1,3,2,0,1,26,1,1,0,2,1,0,0,0,1,0,1,0,
57,2,1,0,0,0,0,0,0,2,6,1,0,3,1,3,2,0,1,28,1,1,0,2,1,0,0,0,1,0,1,0,
61,2,1,0,0,1,0,0,0,2,7,1,0,3,1,3,2,0,1,29,1,1,0,2,1,0,0,0,1,0,2,0,
62,2,1,0,0,1,0,0,0,2,7,1,0,3,1,3,3,0,1,29,1,1,0,2,1,0,0,0,1,0,2,0,
65,2,1,0,1,1,0,0,0,2,8,1,0,3,1,3,3,0,1,30,1,1,0,2,1,0,0,0,1,0,2,0,
69,2,1,0,1,1,0,0,0,3,8,1,0,3,1,3,3,0,1,32,1,1,0,2,1,0,0,1,1,0,2,0,
72,2,2,0,1,1,0,0,0,3,9,1,0,3,1,4,3,0,1,32,1,1,0,2,1,0,0,1,1,0,2,0,
75,2,2,0,1,1,0,0,0,4,9,1,0,3,1,4,3,0,1,33,1,1,0,2,1,0,0,1,1,0,3,0,
80,2,4,0,1,1,0,0,0,4,10,1,0,3,1,4,3,0,2,34,1,1,0,2,1,0,0,1,1,0,3,0,
