spv,srr1995,srr1996,srr1997,srr1998,srr1999,srr2000,suu1995,suu1996,suu1997,suu1998,suu1999,suu2000,fdi1995,fdi1996,fdi1997,fdi1998,fdi1999,land1995,land1996,land1997,land1998,land1999,rural_incpc1995,urban_incpc1995
1,834,822,820,806,772,723,13,80,152,271,538,1017,287.9,354.5,414.4,495.1,578.0,152.1,152.7,140.2,136.9,160.3,3208,5868
2,829,819,817,807,791,759,4,22,55,77,131,221,104.1,154.7,214.8,270.1,321.2,317.7,275.4,271.3,277.0,272.6,2531,4930
3,17112,17212,17302,17444,17219,16694,4,28,61,118,242,453,49.2,76.7,107.7,141.0,165.4,5198.5,5243.9,5305.0,5351.1,5388.2,1669,3674
4,6980,6997,6991,7028,6932,6822,5,31,73,106,204,370,7.3,12.3,22.0,30.0,43.3,2954.6,2630.8,2834.5,2957.6,2886.9,1208,3306
5,4317,4343,4380,4412,4351,4242,5,32,66,116,192,340,10.1,11.0,12.8,14.6,16.3,4309.2,6145.7,3952.6,4182.2,4446.4,1300,2846
6,6681,6671,6654,6652,6481,6264,7,43,74,127,244,458,66.8,84.4,107.2,127.5,143.8,2373.1,2579.3,2653.9,2650.6,2675.9,1757,3691
7,4728,4747,4705,4714,4628,4509,2,14,37,56,83,124,55.4,73.3,88.3,92.5,92.6,3521.5,2975.6,2901.8,2884.8,3111.9,1610,3175
8,5707,5792,5781,5839,5718,5617,5,26,57,101,182,251,37.3,48.1,61.8,71.1,78.6,4720.5,4939.1,5648.5,7443.2,7553.8,1766,3375
9,582,564,543,521,484,456,24,108,203,394,760,1253,349.9,471.5,583.3,647.8,688.6,239.6,231.5,249.8,216.5,275.6,4246,7172
10,14440,14328,14103,13869,13225,12348,22,142,291,522,972,1744,346.5,448.6,561.0,688.2,799.4,3632.6,3475.7,3438.0,3419.9,3441.1,2457,4634
11,9248,9083,8815,8541,7999,7313,37,163,346,690,1419,2975,81.3,107.2,130.2,147.7,168.9,1908.3,1970.2,1889.6,1886.9,1923.0,2966,6221
12,15559,15564,15372,15205,14575,13517,5,37,64,104,194,265,22.1,29.9,35.4,37.3,40.8,3784.6,3770.9,3878.5,4049.1,4113.7,1303,3779
13,7002,6977,6946,6922,6623,6156,16,80,178,342,874,1761,170.0,209.8,246.6,281.2,310.7,976.2,956.9,968.7,1008.3,1019.6,2049,4853
14,9636,9586,9459,9238,8650,7727,3,37,69,115,184,254,17.2,21.7,29.1,35.4,38.4,3081.1,2006.3,2031.0,2034.6,2055.6,1537,3377
15,21087,20943,20769,20640,20320,19569,8,69,183,343,570,1000,231.5,289.9,339.4,375.9,417.0,4965.8,5133.6,5167.7,5249.9,5248.4,1715,4264
16,25244,25376,25377,25390,24744,23829,12,43,93,154,294,413,79.2,104.6,129.7,149.1,162.8,5848.2,5771.7,5420.5,6141.5,6639.1,1232,3299
17,12025,11980,11800,11568,10945,9957,13,63,126,238,402,646,44.8,57.2,68.6,85.8,89.5,2788.0,2868.5,2782.3,2602.6,2637.2,1511,4017
18,16566,16495,16346,16168,15242,13983,9,53,124,216,335,491,26.3,37.5,51.5,61.8,68.0,3445.1,3927.3,3329.8,3177.1,3203.6,1425,4699
19,10557,10548,10537,10305,9750,8797,151,787,1781,3552,7147,11623,687.9,869.0,1031.2,1189.1,1339.6,2922.3,2243.0,2312.5,2448.7,2371.7,2699,7439
20,10906,11050,11070,11009,10613,9910,11,52,112,197,343,537,49.7,59.4,72.7,84.9,91.0,2357.5,2856.0,2540.4,2729.9,2683.6,1446,4792
21,1224,1277,1311,1317,1330,1325,2,3,12,37,67,106,59.6,67.2,72.8,78.3,79.6,265.8,278.2,274.8,277.6,258.4,1872,4770
22,7279,7176,6991,6762,6274,5583,8,27,57,107,198,328,23.8,24.7,26.5,30.3,32.1,1702.2,1463.6,1507.3,1366.1,1409.1,1270,4375
23,20396,20108,19590,18948,17580,15645,24,75,158,300,555,919,66.8,69.1,74.3,84.9,89.9,4769.9,4101.3,4223.9,3828.2,3948.8,1158,4003
24,9336,9407,9411,9414,9155,8651,4,32,73,119,223,322,6.4,7.9,9.8,12.3,14.8,1873.5,1904.9,1810.5,1834.0,1866.5,1087,3931
25,11911,12072,12184,12328,12231,12015,14,63,145,298,552,926,12.3,15.3,17.5,19.1,20.7,3230.1,4491.3,2957.9,3244.6,2943.2,1011,4065
26,645,674,689,712,734,747,3,6,11,24,40,49,0.4,0.6,0.5,0.6,0.6,218.8,239.2,222.2,214.5,221.0,878,4000
27,8132,8106,8041,7990,7755,7453,5,26,55,109,209,324,30.5,36.7,49.6,52.5,54.2,3723.0,3459.3,3073.4,3158.8,2983.3,963,3310
28,6429,6441,6443,6463,6400,6233,2,17,34,55,102,211,16.2,19.7,20.6,20.7,20.9,2812.0,5197.2,3331.5,2484.4,2555.4,880,3153
29,1004,1045,1047,1070,1079,1089,0,3,9,16,31,52,1.2,1.4,2.3,3.7,3.6,380.2,414.7,443.9,441.5,487.0,1030,3380
30,1015,1034,1058,1082,1086,1095,2,8,17,29,48,86,4.1,4.7,5.1,5.7,5.9,667.9,676.5,722.7,681.3,735.4,1037,3383
31,3333,3498,3560,3683,3751,3717,11,63,123,196,315,635,4.9,6.0,6.0,5.9,5.9,1428.1,1262.4,1332.9,1454.3,1466.8,1137,4163
