year,FromTime,ToTime,spv,NonmigCount,MigCount
1995,0,0,1,834,13
1995,0,0,2,829,4
1995,0,0,3,17112,4
1995,0,0,4,6980,5
1995,0,0,5,4317,5
1995,0,0,6,6681,7
1995,0,0,7,4728,2
1995,0,0,8,5707,5
1995,0,0,9,582,24
1995,0,0,10,14440,22
1995,0,0,11,9248,37
1995,0,0,12,15559,5
1995,0,0,13,7002,16
1995,0,0,14,9636,3
1995,0,0,15,21087,8
1995,0,0,16,25244,12
1995,0,0,17,12025,13
1995,0,0,18,16566,9
1995,0,0,19,10557,151
1995,0,0,20,10906,11
1995,0,0,21,1224,2
1995,0,0,22,7279,8
1995,0,0,23,20396,24
1995,0,0,24,9336,4
1995,0,0,25,11911,14
1995,0,0,26,645,3
1995,0,0,27,8132,5
1995,0,0,28,6429,2
1995,0,0,29,1004,0
1995,0,0,30,1015,2
1995,0,0,31,3333,11
1996,1,12,1,822,80
1996,1,12,2,819,22
1996,1,12,3,17212,28
1996,1,12,4,6997,31
1996,1,12,5,4343,32
1996,1,12,6,6671,43
1996,1,12,7,4747,14
1996,1,12,8,5792,26
1996,1,12,9,564,108
1996,1,12,10,14328,142
1996,1,12,11,9083,163
1996,1,12,12,15564,37
1996,1,12,13,6977,80
1996,1,12,14,9586,37
1996,1,12,15,20943,69
1996,1,12,16,25376,43
1996,1,12,17,11980,63
1996,1,12,18,16495,53
1996,1,12,19,10548,787
1996,1,12,20,11050,52
1996,1,12,21,1277,3
1996,1,12,22,7176,27
1996,1,12,23,20108,75
1996,1,12,24,9407,32
1996,1,12,25,12072,63
1996,1,12,26,674,6
1996,1,12,27,8106,26
1996,1,12,28,6441,17
1996,1,12,29,1045,3
1996,1,12,30,1034,8
1996,1,12,31,3498,63
1997,13,24,1,820,152
1997,13,24,2,817,55
1997,13,24,3,17302,61
1997,13,24,4,6991,73
1997,13,24,5,4380,66
1997,13,24,6,6654,74
1997,13,24,7,4705,37
1997,13,24,8,5781,57
1997,13,24,9,543,203
1997,13,24,10,14103,291
1997,13,24,11,8815,346
1997,13,24,12,15372,64
1997,13,24,13,6946,178
1997,13,24,14,9459,69
1997,13,24,15,20769,183
1997,13,24,16,25377,93
1997,13,24,17,11800,126
1997,13,24,18,16346,124
1997,13,24,19,10537,1781
1997,13,24,20,11070,112
1997,13,24,21,1311,12
1997,13,24,22,6991,57
1997,13,24,23,19590,158
1997,13,24,24,9411,73
1997,13,24,25,12184,145
1997,13,24,26,689,11
1997,13,24,27,8041,55
1997,13,24,28,6443,34
1997,13,24,29,1047,9
1997,13,24,30,1058,17
1997,13,24,31,3560,123
1998,25,36,1,806,271
1998,25,36,2,807,77
1998,25,36,3,17444,118
1998,25,36,4,7028,106
1998,25,36,5,4412,116
1998,25,36,6,6652,127
1998,25,36,7,4714,56
1998,25,36,8,5839,101
1998,25,36,9,521,394
1998,25,36,10,13869,522
1998,25,36,11,8541,690
1998,25,36,12,15205,104
1998,25,36,13,6922,342
1998,25,36,14,9238,115
1998,25,36,15,20640,343
1998,25,36,16,25390,154
1998,25,36,17,11568,238
1998,25,36,18,16168,216
1998,25,36,19,10305,3552
1998,25,36,20,11009,197
1998,25,36,21,1317,37
1998,25,36,22,6762,107
1998,25,36,23,18948,300
1998,25,36,24,9414,119
1998,25,36,25,12328,298
1998,25,36,26,712,24
1998,25,36,27,7990,109
1998,25,36,28,6463,55
1998,25,36,29,1070,16
1998,25,36,30,1082,29
1998,25,36,31,3683,196
1999,37,48,1,772,538
1999,37,48,2,791,131
1999,37,48,3,17219,242
1999,37,48,4,6932,204
1999,37,48,5,4351,192
1999,37,48,6,6481,244
1999,37,48,7,4628,83
1999,37,48,8,5718,182
1999,37,48,9,484,760
1999,37,48,10,13225,972
1999,37,48,11,7999,1419
1999,37,48,12,14575,194
1999,37,48,13,6623,874
1999,37,48,14,8650,184
1999,37,48,15,20320,570
1999,37,48,16,24744,294
1999,37,48,17,10945,402
1999,37,48,18,15242,335
1999,37,48,19,9750,7147
1999,37,48,20,10613,343
1999,37,48,21,1330,67
1999,37,48,22,6274,198
1999,37,48,23,17580,555
1999,37,48,24,9155,223
1999,37,48,25,12231,552
1999,37,48,26,734,40
1999,37,48,27,7755,209
1999,37,48,28,6400,102
1999,37,48,29,1079,31
1999,37,48,30,1086,48
1999,37,48,31,3751,315
2000,49,60,1,723,1017
2000,49,60,2,759,221
2000,49,60,3,16694,453
2000,49,60,4,6822,370
2000,49,60,5,4242,340
2000,49,60,6,6264,458
2000,49,60,7,4509,124
2000,49,60,8,5617,251
2000,49,60,9,456,1253
2000,49,60,10,12348,1744
2000,49,60,11,7313,2975
2000,49,60,12,13517,265
2000,49,60,13,6156,1761
2000,49,60,14,7727,254
2000,49,60,15,19569,1000
2000,49,60,16,23829,413
2000,49,60,17,9957,646
2000,49,60,18,13983,491
2000,49,60,19,8797,11623
2000,49,60,20,9910,537
2000,49,60,21,1325,106
2000,49,60,22,5583,328
2000,49,60,23,15645,919
2000,49,60,24,8651,322
2000,49,60,25,12015,926
2000,49,60,26,747,49
2000,49,60,27,7453,324
2000,49,60,28,6233,211
2000,49,60,29,1089,52
2000,49,60,30,1095,86
2000,49,60,31,3717,635
