provcode,y1949,y1950,y1951,y1952,y1953,y1954,y1955,y1956,y1957,y1958,y1959,y1960,y1961,y1962,y1963,y1964,y1965,y1966,y1967,y1968,y1969,y1970,y1971,y1972,y1973,y1974,y1975,y1976,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004
11,,,,0.8,5.4,8.2,5.3,7.7,7.1,11.8,17.7,18.4,8.7,0.7,2.3,6.2,8.3,9,6.3,5.9,8.7,7.1,9.8,9.9,14.4,19,16.8,11.6,14.2,24.8,29.8,35.6,29.5,26.1,49,68.6,98.7,129.8,170.1,197.8,200.3,228,184.4,201,326.8,519,888.3,922.5,1001.7,1171.9,1233.5,1377,1631.8,1913.1,2211.6,2600.8
12,,,,1.32,2.03,2.58,1.78,2.59,3.07,7.51,8.22,9.65,3.25,2.38,3.3,4.59,3.73,4.92,2.22,2.72,4.98,7.89,8.4,10.22,15.27,19.98,20.8,17.38,20.18,18.55,23.91,25.56,25,32.36,38.27,48.67,67.6,75.89,81.63,96.85,95.43,98.03,144.19,185.12,246.16,345.46,417.95,491.9,556.43,640.15,631.92,695.1,805.34,926.65,1180.54,1446.49
13,,,,5.2,6.2,6.2,7.8,8,10.4,22.1,23.7,25.6,10.2,5,7.5,9.4,11.9,12.4,12.5,11.8,14.7,18.4,23.1,23.6,25,29,38.2,37.7,40.5,51.4,58.4,51.9,45.4,65.1,71.4,82.1,116.4,127.6,137.6,195.2,180.9,204,254.3,390,530.4,704.9,955.2,1240.6,1486.1,1636.1,1822.3,1963.7,2088.9,2219.2,2654,3452.1
14,,,,2.2,3,4.6,4.9,10.2,10.7,21.1,22,24.5,8.4,4.7,5.9,8.1,10,11.7,7.5,5.7,8.5,15.8,20.9,20.7,20.5,19.3,21.1,19.6,24.7,27.4,22.5,27.3,24.7,33.5,43.5,66.9,88.9,94,103,104.4,104.7,117.2,144.4,175.5,242.6,290.9,314.1,351.1,434,562,605.4,657.6,723,855.7,1113.2,1454.1
15,,,,0.9,1.5,2.4,1.7,3.3,3.4,12.2,13,16.8,3.7,2.8,4.2,5.9,7.7,7.3,3.5,4.2,4.2,7.3,8.1,7.3,8.4,9.8,10.6,11.7,12.8,16.6,17.7,15.8,15.5,20.9,29.7,40.9,50.9,47.6,53.3,72.1,70.7,70.8,100.7,149.2,219.4,250.2,273.2,275.5,317.5,350.2,383.4,430.4,498,715.1,1209.5,1809.3
21,,,,8.6,10.8,14.2,11.1,12.8,12.7,26.8,34.1,39.6,7.6,5.8,14.8,19.1,20.7,16.4,12,12.3,14.8,17.4,21.8,24.7,29.3,32,33.2,30.5,30.6,33.6,45.4,42.9,43.1,63,71.6,92.6,130.9,158.6,210.2,260.3,241.9,262.4,323.7,405.2,731.6,888,885,920.7,976.5,1069.6,1115.8,1293.9,1444.2,1627.6,2102.1,3025.1
22,,,,1.9,3.2,5.4,5.6,6.5,4.3,8.4,10.7,11.1,5.1,3.9,5.2,7,7.5,6.9,5.4,5.3,6.5,8.9,11.6,11.6,13.4,13.7,15.4,12.4,11.7,18.2,19.5,20.8,21,27.7,29.3,40.9,62.4,63.4,76.7,92.9,81.7,94,117.4,152.6,252.9,320.5,358.1,412.8,386.4,442.3,525,627.7,699.7,824.2,998.1,1182.2
23,,,,4.2,6,7.5,7.6,9,8.1,15.8,19.2,24.1,8,6.3,10,12.5,12.1,10.2,8.1,7.5,10.4,12.2,12.1,14.2,16.4,18,20.1,21.8,23.5,26.9,28.6,38,46.6,62.1,70.8,87,109.9,121.6,138.6,159.5,157,169.3,196.2,246.2,335,435.7,558.8,653.6,724.4,865.3,859.1,926.7,1051.7,1158.3,1267.1,1516.9
31,,,,2.28,3.91,3.5,3.75,4.84,5.58,12.33,16.66,18.36,7.86,4.35,5.8,7.94,8.3,7.9,5.28,5.18,8.1,11.53,12.66,14.62,17.72,23.89,34.24,25.71,19.72,31.69,39.05,45.57,55.1,70.49,74.51,90.7,116.7,144.41,183.79,236.92,232.22,248.34,276.08,382.01,624.31,996.48,1380.85,1711.46,1795.83,1804.81,1801.59,1933.01,2099.99,2354.1,2648.4,3246.16
32,,,,5.1,7.9,4.8,5.9,7.7,8.8,12.5,15.6,21.2,11.2,9.3,10.2,11.6,11.9,12.3,10.2,9.9,11.5,15.5,19.2,22,24,22.2,25.9,28.4,29.7,40.4,46.3,58.3,56.8,95.7,105.5,131.4,193.3,240.4,303.5,390.5,336.2,374.1,462,747.3,1201.4,1435,1756.9,2062.2,2296,2642.3,2842.7,3125.4,3443.2,3994.2,5480.8,6972.7
