spvhk,fsize,prop
1,1,0.534513
1,2,0.389381
1,3,0.058407
1,4,0.017699
1,5,0.000000
1,6,0.000000
2,1,0.510526
2,2,0.398246
2,3,0.070175
2,4,0.019298
2,5,0.001754
2,6,0.000000
3,1,0.375145
3,2,0.440706
3,3,0.128133
3,4,0.046761
3,5,0.007906
3,6,0.001350
4,1,0.370602
4,2,0.440964
4,3,0.126265
4,4,0.050602
4,5,0.009639
4,6,0.001928
5,1,0.412103
5,2,0.409422
5,3,0.117963
5,4,0.047874
5,5,0.011490
5,6,0.001149
6,1,0.386121
6,2,0.443123
6,3,0.136307
6,4,0.030731
6,5,0.003718
6,6,0.000000
7,1,0.339173
7,2,0.455088
7,3,0.145732
7,4,0.049199
7,5,0.008573
7,6,0.002236
8,1,0.290159
8,2,0.495556
8,3,0.135873
8,4,0.061270
8,5,0.015238
8,6,0.001905
9,1,0.398827
9,2,0.472141
9,3,0.108504
9,4,0.017595
9,5,0.002933
9,6,0.000000
10,1,0.434752
10,2,0.441633
10,3,0.096560
10,4,0.022857
10,5,0.003615
10,6,0.000583
11,1,0.435653
11,2,0.434860
11,3,0.098949
11,4,0.026968
11,5,0.002974
11,6,0.000595
12,1,0.401008
12,2,0.459670
12,3,0.093034
12,4,0.037007
12,5,0.007562
12,6,0.001719
13,1,0.342803
13,2,0.460530
13,3,0.133297
13,4,0.046162
13,5,0.014477
13,6,0.002732
14,1,0.415957
14,2,0.440507
14,3,0.106316
14,4,0.029697
14,5,0.006533
14,6,0.000990
15,1,0.378071
15,2,0.472391
15,3,0.112963
15,4,0.030808
15,5,0.004661
15,6,0.001106
16,1,0.360513
16,2,0.470433
16,3,0.115147
16,4,0.042298
16,5,0.010048
16,6,0.001562
17,1,0.363267
17,2,0.487428
17,3,0.112447
17,4,0.031235
17,5,0.004529
17,6,0.001093
18,1,0.418445
18,2,0.441964
18,3,0.096908
18,4,0.035497
18,5,0.006206
18,6,0.000980
19,1,0.450799
19,2,0.394814
19,3,0.102696
19,4,0.039842
19,5,0.009961
19,6,0.001889
20,1,0.386142
20,2,0.436746
20,3,0.116256
20,4,0.045643
20,5,0.011907
20,6,0.003307
21,1,0.281341
21,2,0.457726
21,3,0.154519
21,4,0.074344
21,5,0.020408
21,6,0.011662
22,1,0.487773
22,2,0.429559
22,3,0.069644
22,4,0.011164
22,5,0.001595
22,6,0.000266
23,1,0.500335
23,2,0.390787
23,3,0.083250
23,4,0.021524
23,5,0.003350
23,6,0.000754
24,1,0.387819
24,2,0.462051
24,3,0.095335
24,4,0.041281
24,5,0.010367
24,6,0.003147
25,1,0.300674
25,2,0.495281
25,3,0.130187
25,4,0.054382
25,5,0.016479
25,6,0.002996
26,1,0.214502
26,2,0.404834
26,3,0.169184
26,4,0.151057
26,5,0.036254
26,6,0.024169
27,1,0.413301
27,2,0.457976
27,3,0.092411
27,4,0.029784
27,5,0.006120
27,6,0.000408
28,1,0.384636
28,2,0.432548
28,3,0.123394
28,4,0.046842
28,5,0.009101
28,6,0.003480
29,1,0.375000
29,2,0.359589
29,3,0.164384
29,4,0.065069
29,5,0.023973
29,6,0.011986
30,1,0.441718
30,2,0.351227
30,3,0.136503
30,4,0.058282
30,5,0.010736
30,6,0.001534
31,1,0.314640
31,2,0.477419
31,3,0.122084
31,4,0.057568
31,5,0.021836
31,6,0.006452
