spv,vsize, , 
1,1910, , 
2,900,,
3,440,,
3,500,,
3,690,,
3,850,,
3,1000,,
3,1300,,
3,1400,,
4,605,,
4,1700,,
4,1800,,
5,270,,
5,1290,,
5,5015,,
6,120,,
6,623,,
6,850,,
6,1000,,
6,1950,,
6,2000,,
6,2200,,
7,500,,
7,650,,
7,1050,,
7,2000,,
8,400,,
8,551,,
8,1100,,
8,2670,,
9,1337,,
10,500,,
10,700,,
10,800,,
10,976,,
10,1242,,
10,1939,,
10,1995,,
10,2000,,
10,2050,,
10,2305,,
10,3000,,
11,583,,
11,1100,,
11,1155,,
11,1200,,
11,1300,,
11,2156,,
11,2400,,
11,2408,,
11,3000,,
12,180,,
12,200,,
12,300,,
12,500,,
12,800,,
12,900,,
12,980,,
12,1000,,
12,4859,,
13,100,,
13,200,,
13,480,,
13,500,,
13,2000,,
13,2100,,
13,2200,,
13,2226,,
13,2423,,
13,5400,,
14,85,,
14,140,,
14,1150,,
14,1550,,
15,60,,
15,150,,
15,180,,
15,260,,
15,280,,
15,310,,
15,350,,
15,800,,
15,856,,
15,1100,,
15,1200,,
15,1850,,
15,2300,,
15,3000,,
16,150,,
16,180,,
16,300,,
16,350,,
16,560,,
16,650,,
16,729,,
16,850,,
16,1200,,
16,1500,,
16,1531,,
16,1600,,
17,190,,
17,250,,
17,570,,
17,860,,
17,1000,,
17,2400,,
18,80,,
18,170,,
18,200,,
18,400,,
18,500,,
18,750,,
18,1000,,
18,2200,,
19,55,,
19,95,,
19,136,,
19,190,,
19,400,,
19,450,,
19,550,,
19,600,,
19,695,,
19,1200,,
19,1440,,
19,1970,,
19,2000,,
19,2100,,
19,2178,,
19,2580,,
19,2650,,
19,2683,,
19,2700,,
19,3000,,
19,3200,,
19,3500,,
19,4000,,
19,4200,,
19,4300,,
19,5096,,
19,8204,,
19,11118,,
20,400,,
20,512,,
20,650,,
20,900,,
20,980,,
20,1200,,
20,1400,,
20,1800,,
20,1900,,
20,2565,,
20,2586,,
21,1337,,
22,700,,
22,1450,,
23,100,,
23,200,,
23,300,,
23,360,,
23,420,,
23,1100,,
23,1395,,
23,1900,,
23,2800,,
23,3550,,
24,1080,,
24,1100,,
24,1200,,
24,1500,,
24,1800,,
25,1006,,
25,1200,,
25,1500,,
25,1950,,
25,1980,,
25,4200,,
26,900,,
27,110,,
27,300,,
27,400,,
27,440,,
27,620,,
27,800,,
27,1250,,
27,1800,,
27,2400,,
28,90,,
28,100,,
28,200,,
28,400,,
28,510,,
28,600,,
28,640,,
28,650,,
28,660,,
28,700,,
28,780,,
28,860,,
28,1180,,
28,1440,,
29,1100,,
29,2100,,
30,900,,
31,615,,
31,850,,
31,1800,,
